representation,fold,n,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
transformer_only,20,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.5130612443112443,2,4,3,5
transformer_only,21,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.71984126984127,4,2,3,5
transformer_only,22,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7919642857142857,4,2,4,4
transformer_only,23,14,0.7142857142857143,0.75,0.75,0.75,0.8635912698412698,4,2,2,6
transformer_only,24,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.5974587912087912,4,2,3,5
transformer_only,25,14,0.7142857142857143,0.75,0.75,0.75,0.8015241702741703,4,2,2,6
transformer_only,26,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.9126984126984127,5,1,3,5
transformer_only,27,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.6182921245421246,4,2,3,5
transformer_only,28,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.6823232323232323,2,4,2,6
transformer_only,29,14,0.5714285714285714,0.5833333333333334,0.875,0.7954545454545454,0.7495421245421245,1,5,1,7
transformer_only,30,14,0.7142857142857143,0.75,0.75,0.75,0.8994408369408369,4,2,2,6
transformer_only,31,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8148674242424242,3,3,2,6
transformer_only,32,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8821428571428571,5,1,3,5
transformer_only,33,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.6575101981351982,3,3,2,6
transformer_only,34,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7752976190476191,3,3,1,7
transformer_only,35,14,0.5714285714285714,0.625,0.625,0.625,0.678125,3,3,3,5
transformer_only,36,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8865936147186148,5,1,3,5
transformer_only,37,14,0.35714285714285715,0.4444444444444444,0.5,0.4878048780487805,0.5430215617715618,1,5,4,4
transformer_only,38,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.6637601981351982,2,4,2,6
transformer_only,39,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.865909090909091,3,3,2,6
transformer_only,40,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8461670274170274,3,3,1,7
transformer_only,41,14,0.5714285714285714,0.625,0.625,0.625,0.6420371295371295,3,3,3,5
