representation,C,repeat,fold,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
pathway_aware_structured,1.0,7,4,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8488906926406927,5,1,3,5
pathway_aware_structured,1.0,7,5,0.5,0.5555555555555556,0.625,0.6097560975609756,0.6034000721500722,2,4,3,5
pathway_aware_structured,1.0,8,1,0.5,0.6,0.375,0.40540540540540543,0.740625,4,2,5,3
pathway_aware_structured,1.0,8,2,0.42857142857142855,0.5,0.375,0.39473684210526316,0.6573600011100011,3,3,5,3
pathway_aware_structured,1.0,8,3,0.7142857142857143,1.0,0.5,0.5555555555555556,0.8910714285714285,6,0,4,4
pathway_aware_structured,1.0,8,4,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.896565934065934,3,3,2,6
pathway_aware_structured,1.0,8,5,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8372835497835498,2,4,2,6
pathway_aware_structured,1.0,9,1,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8583333333333334,3,3,1,7
pathway_aware_structured,1.0,9,2,0.5,0.5714285714285714,0.5,0.5128205128205128,0.8160037878787879,3,3,4,4
pathway_aware_structured,1.0,9,3,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8123397435897436,5,1,4,4
pathway_aware_structured,1.0,9,4,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8172619047619047,4,2,3,5
pathway_aware_structured,1.0,9,5,0.42857142857142855,0.5,0.25,0.2777777777777778,0.6829184704184704,4,2,6,2
pathway_aware_structured,1.0,10,1,0.5714285714285714,0.625,0.625,0.625,0.7517857142857143,3,3,3,5
pathway_aware_structured,1.0,10,2,0.5714285714285714,0.625,0.625,0.625,0.8498397435897436,3,3,3,5
pathway_aware_structured,1.0,10,3,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7624660062160062,3,3,4,4
pathway_aware_structured,1.0,10,4,0.7857142857142857,1.0,0.625,0.6756756756756757,0.928409090909091,6,0,3,5
pathway_aware_structured,1.0,10,5,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7513625263625263,4,2,4,4
transformer_plus_pathway,0.1,1,1,0.7142857142857143,0.75,0.75,0.75,0.8373397435897436,4,2,2,6
transformer_plus_pathway,0.1,1,2,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7912087912087913,4,2,3,5
transformer_plus_pathway,0.1,1,3,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7912087912087913,4,2,3,5
