fold,model,accuracy,precision,recall,f2,pr_auc,false_positive_count,false_negative_count,confusion_matrix
31,TF-IDF + Logistic Regression,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8023809523809524,4,2,"[[2, 4], [2, 6]]"
31,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8477678571428572,1,4,"[[5, 1], [4, 4]]"
31,Hybrid TF-IDF + Transformer,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8361492673992674,1,3,"[[5, 1], [3, 5]]"
32,TF-IDF + Logistic Regression,0.6428571428571429,0.6363636363636364,0.875,0.813953488372093,0.8791666666666667,4,1,"[[2, 4], [1, 7]]"
32,Transformer Embeddings + Logistic Regression,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8610479797979799,2,1,"[[4, 2], [1, 7]]"
32,Hybrid TF-IDF + Transformer,0.7857142857142857,0.7272727272727273,1.0,0.9302325581395349,0.8701388888888889,3,0,"[[3, 3], [0, 8]]"
33,TF-IDF + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.897159090909091,3,2,"[[3, 3], [2, 6]]"
33,Transformer Embeddings + Logistic Regression,0.8571428571428571,0.8,1.0,0.9523809523809523,0.8388888888888889,2,0,"[[4, 2], [0, 8]]"
33,Hybrid TF-IDF + Transformer,0.7857142857142857,0.7272727272727273,1.0,0.9302325581395349,0.9085317460317461,3,0,"[[3, 3], [0, 8]]"
34,TF-IDF + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.826923076923077,3,1,"[[3, 3], [1, 7]]"
34,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8395042457542458,2,3,"[[4, 2], [3, 5]]"
34,Hybrid TF-IDF + Transformer,0.7142857142857143,0.75,0.75,0.75,0.8543851981351982,2,2,"[[4, 2], [2, 6]]"
35,TF-IDF + Logistic Regression,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7872023809523809,2,3,"[[4, 2], [3, 5]]"
35,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7705357142857143,3,1,"[[3, 3], [1, 7]]"
35,Hybrid TF-IDF + Transformer,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8219246031746031,2,1,"[[4, 2], [1, 7]]"
36,TF-IDF + Logistic Regression,0.6428571428571429,0.6363636363636364,0.875,0.813953488372093,0.8158119658119658,4,1,"[[2, 4], [1, 7]]"
36,Transformer Embeddings + Logistic Regression,0.7857142857142857,1.0,0.625,0.6756756756756757,0.9704861111111112,0,3,"[[6, 0], [3, 5]]"
36,Hybrid TF-IDF + Transformer,0.8571428571428571,1.0,0.75,0.7894736842105263,0.975,0,2,"[[6, 0], [2, 6]]"
37,TF-IDF + Logistic Regression,0.5714285714285714,0.625,0.625,0.625,0.7863553113553113,3,3,"[[3, 3], [3, 5]]"
37,Transformer Embeddings + Logistic Regression,0.7142857142857143,1.0,0.5,0.5555555555555556,0.9068813131313131,0,4,"[[6, 0], [4, 4]]"
37,Hybrid TF-IDF + Transformer,0.7142857142857143,1.0,0.5,0.5555555555555556,0.9128787878787878,0,4,"[[6, 0], [4, 4]]"
38,TF-IDF + Logistic Regression,0.5,0.5454545454545454,0.75,0.6976744186046512,0.8123397435897436,5,2,"[[1, 5], [2, 6]]"
38,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.6363636363636364,0.875,0.813953488372093,0.7509740259740261,4,1,"[[2, 4], [1, 7]]"
38,Hybrid TF-IDF + Transformer,0.6428571428571429,0.6363636363636364,0.875,0.813953488372093,0.8372835497835498,4,1,"[[2, 4], [1, 7]]"
39,TF-IDF + Logistic Regression,0.7142857142857143,0.75,0.75,0.75,0.9293650793650794,2,2,"[[4, 2], [2, 6]]"
39,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.7224702380952381,3,2,"[[3, 3], [2, 6]]"
39,Hybrid TF-IDF + Transformer,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8065476190476191,3,2,"[[3, 3], [2, 6]]"
40,TF-IDF + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8491883116883117,3,2,"[[3, 3], [2, 6]]"
40,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7719246031746031,3,1,"[[3, 3], [1, 7]]"
