representation,repeat,fold,n,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
precursor_structured_only,3,2,14,0.5714285714285714,0.625,0.625,0.625,0.6806433150183151,3,3,3,5
precursor_structured_only,3,3,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.7881313131313132,5,1,4,4
precursor_structured_only,3,4,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.8148674242424242,4,2,4,4
precursor_structured_only,3,5,14,0.7142857142857143,0.75,0.75,0.75,0.9293650793650794,4,2,2,6
precursor_structured_only,4,1,14,0.5714285714285714,0.625,0.625,0.625,0.601663961038961,3,3,3,5
precursor_structured_only,4,2,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8060897435897436,5,1,4,4
precursor_structured_only,4,3,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.752129120879121,3,3,2,6
precursor_structured_only,4,4,14,0.5714285714285714,0.625,0.625,0.625,0.6551948051948052,3,3,3,5
precursor_structured_only,4,5,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.9208333333333334,3,3,2,6
precursor_structured_only,5,1,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.747470238095238,3,3,4,4
precursor_structured_only,5,2,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.8757326007326007,5,1,2,6
precursor_structured_only,5,3,14,0.5,0.5454545454545454,0.75,0.6976744186046512,0.7613553113553113,1,5,2,6
precursor_structured_only,5,4,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.5874323593073594,3,3,4,4
precursor_structured_only,5,5,14,0.5714285714285714,0.75,0.375,0.4166666666666667,0.8477678571428572,5,1,5,3
precursor_structured_only,6,1,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7745421245421246,4,2,4,4
precursor_structured_only,6,2,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7635281385281386,4,2,3,5
precursor_structured_only,6,3,14,0.2857142857142857,0.3333333333333333,0.25,0.2631578947368421,0.6198232323232322,2,4,6,2
precursor_structured_only,6,4,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.8054029304029304,2,4,3,5
precursor_structured_only,6,5,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.799404761904762,5,1,2,6
precursor_structured_only,7,1,14,0.6428571428571429,0.6153846153846154,1.0,0.8888888888888888,0.8835317460317461,1,5,0,8
precursor_structured_only,7,2,14,0.5,0.6,0.375,0.40540540540540543,0.7124323593073594,4,2,5,3
precursor_structured_only,7,3,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.7760416666666666,5,1,4,4
precursor_structured_only,7,4,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8552579365079366,5,1,4,4
precursor_structured_only,7,5,14,0.42857142857142855,0.5,0.625,0.5952380952380952,0.5963945776445776,1,5,3,5
precursor_structured_only,8,1,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.725297619047619,4,2,4,4
precursor_structured_only,8,2,14,0.35714285714285715,0.4,0.25,0.2702702702702703,0.49925213675213675,3,3,6,2
precursor_structured_only,8,3,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8452380952380952,5,1,3,5
precursor_structured_only,8,4,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.9202741702741702,5,1,3,5
precursor_structured_only,8,5,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7823072760572761,4,2,3,5
